Contact Addy for the complete list. https://www.addy.co.nz/contact,,,,,
Postcode,Suburb,City,Territory,Region,Island
632,Albany,Auckland,Auckland,Auckland,North Island
632,Albany Heights,Auckland,Auckland,Auckland,North Island
2105,Alfriston,Auckland,Auckland,Auckland,North Island
2022,Auckland Airport,Auckland,Auckland,Auckland,North Island
1010,Auckland Central,Auckland,Auckland,Auckland,North Island
1011,Auckland Central,Auckland,Auckland,Auckland,North Island
600,Avondale,Auckland,Auckland,Auckland,North Island
1026,Avondale,Auckland,Auckland,Auckland,North Island
622,Bayswater,Auckland,Auckland,Auckland,North Island
629,Bayview,Auckland,Auckland,Auckland,North Island
626,Beach Haven,Auckland,Auckland,Auckland,North Island
2018,Beachlands,Auckland,Auckland,Auckland,North Island
622,Belmont,Auckland,Auckland,Auckland,North Island
626,Birkdale,Auckland,Auckland,Auckland,North Island
626,Birkenhead,Auckland,Auckland,Auckland,North Island
627,Birkenhead,Auckland,Auckland,Auckland,North Island
600,Blockhouse Bay,Auckland,Auckland,Auckland,North Island
1041,Blockhouse Bay,Auckland,Auckland,Auckland,North Island
2010,Botany Downs,Auckland,Auckland,Auckland,North Island
2014,Botany Downs,Auckland,Auckland,Auckland,North Island
630,Browns Bay,Auckland,Auckland,Auckland,North Island
632,Browns Bay,Auckland,Auckland,Auckland,North Island
2012,Bucklands Beach,Auckland,Auckland,Auckland,North Island
2014,Bucklands Beach,Auckland,Auckland,Auckland,North Island
2013,Burswood,Auckland,Auckland,Auckland,North Island
